index,mci,longitude,latitude
5301,Assault,-79.58380727,43.74681421
5302,Assault,-79.46574586,43.66966535
5303,Assault,-79.20497568,43.78260125
5304,Assault,-79.27951692,43.70321859
5305,Assault,-79.30846472,43.7387993
5306,Assault,-79.4352651,43.67798902
5307,Assault,-79.38522539,43.65542637
5308,Assault,-79.50899368,43.77562784
5309,Assault,-79.56870677,43.72589293
5310,Assault,-79.50863442,43.72091542
5311,Assault,-79.46821286,43.6832185
5312,Assault,-79.36359243,43.77008924
5313,Assault,-79.36359243,43.77008924
5314,Assault,-79.36359243,43.77008924
5315,Assault,-79.23728787,43.73667723
5316,Assault,-79.4676292,43.71572914
5317,Assault,-79.4046818,43.77582664
5318,Assault,-79.3808353,43.65936043
5319,Assault,-79.2270842,43.73798076
5320,Assault,-79.41942266,43.79547692
5321,Assault,-79.19508478,43.76432133
5322,Assault,-79.49920745,43.66552417
5323,Assault,-79.43787039,43.73657072
5324,Assault,-79.55791855,43.69442131
5325,Assault,-79.37135661,43.65907335
5326,Assault,-79.44933656,43.69589795
5327,Assault,-79.44933656,43.69589795
5328,Assault,-79.6113223,43.71068795
5329,Assault,-79.44532302,43.65120174
5330,Assault,-79.36653293,43.66071899
5331,Assault,-79.39741494,43.64853801
5332,Assault,-79.1408215,43.77864596
5333,Assault,-79.35051924,43.66047415
5334,Assault,-79.44530343,43.69924195
5335,Assault,-79.24273721,43.78916885
5336,Assault,-79.42879023,43.71506375
5337,Assault,-79.46453298,43.76341447
5338,Assault,-79.37834705,43.66628531
5339,Assault,-79.220263,43.82519715
5340,Assault,-79.43699234,43.75569167
5341,Assault,-79.39741494,43.64853801
5342,Assault,-79.45475112,43.7140869
5343,Assault,-79.41345893,43.76183793
5344,Assault,-79.41345893,43.76183793
5345,Assault,-79.39037937,43.65450338
5346,Assault,-79.38027879,43.64865066
5347,Assault,-79.42582447,43.64948288
5348,Assault,-79.44881625,43.77428385
5349,Assault,-79.22531117,43.7948286
5350,Assault,-79.47336773,43.63305877
5351,Assault,-79.25937144,43.71697177
5352,Assault,-79.44676009,43.7028015
5353,Assault,-79.46992911,43.73466997
5354,Assault,-79.3934609,43.64883179
5355,Assault,-79.34536866,43.69009271
5356,Assault,-79.29146407,43.72699628
5901,Assault,-79.48523858,43.62517914
5357,Assault,-79.37468392,43.66709451
5902,Assault,-79.43417092,43.72921349
5358,Assault,-79.37468392,43.66709451
5903,Assault,-79.28107825,43.76580202
5359,Assault,-79.3006086,43.69437857
5360,Assault,-79.31808252,43.73482103
5904,Assault,-79.26178293,43.73369226
5361,Assault,-79.39389758,43.71059078
5905,Assault,-79.53455412,43.63891578
5362,Assault,-79.5375014,43.72037675
5906,Assault,-79.43163981,43.67504784
5363,Assault,-79.48290646,43.67880262
5907,Assault,-79.49375544,43.6716724
5364,Assault,-79.49409668,43.70495025
5908,Assault,-79.51044929,43.74922684
5365,Assault,-79.38092641,43.65632878
5909,Assault,-79.45032298,43.73393516
5366,Assault,-79.29493427,43.8207076
5910,Assault,-79.45032298,43.73393516
5911,Assault,-79.45032298,43.73393516
5367,Assault,-79.49432754,43.63832631
5912,Assault,-79.4460539,43.78591774
5368,Assault,-79.49002944,43.611151
5369,Assault,-79.20562642,43.77889275
5913,Assault,-79.51071239,43.72930376
5370,Assault,-79.54139106,43.5917164
5914,Assault,-79.45756746,43.69454127
5371,Assault,-79.54139106,43.5917164
5915,Assault,-79.38471298,43.65807471
5916,Assault,-79.38471298,43.65807471
5917,Assault,-79.38471298,43.65807471
5918,Assault,-79.19334231,43.78534433
5919,Assault,-79.39808657,43.67442332
5920,Assault,-79.21679203,43.76021615
5921,Assault,-79.4421819,43.66375354
5922,Assault,-79.41775248,43.65482484
5923,Assault,-79.19543305,43.78483026
5924,Assault,-79.30236952,43.69261278
5925,Assault,-79.31510476,43.68475747
5926,Assault,-79.36023871,43.6600747
5927,Assault,-79.51812463,43.75448465
5928,Assault,-79.31162511,43.67051892
5929,Assault,-79.47555406,43.69768932
5930,Assault,-79.55804759,43.69303694
5931,Assault,-79.21557165,43.74394793
5932,Assault,-79.19543305,43.78483026
5933,Assault,-79.39912514,43.7136541
5934,Assault,-79.17328305,43.77672982
5935,Assault,-79.44300785,43.7178006
5936,Assault,-79.49416153,43.67258668
5937,Assault,-79.38946038,43.67292857
5938,Assault,-79.17389515,43.80769954
5939,Assault,-79.33173444,43.79851644
5940,Assault,-79.22754279,43.79614812
5941,Assault,-79.4040105,43.64718829
5942,Assault,-79.38133373,43.65117012
5943,Assault,-79.20562642,43.77889275
5944,Assault,-79.20562642,43.77889275
5945,Assault,-79.20562642,43.77889275
5501,Assault,-79.40187367,43.65102137
5502,Assault,-79.32863604,43.66744627
5503,Assault,-79.49929409,43.73937656
5946,Assault,-79.20562642,43.77889275
5101,Assault,-79.53064916,43.68344381
5947,Assault,-79.23836164,43.73885308
5504,Assault,-79.25953909,43.79211966
5948,Assault,-79.45509885,43.69462567
5505,Assault,-79.14622342,43.79892473
5949,Assault,-79.22738834,43.76517427
5506,Assault,-79.44008546,43.73610936
5950,Assault,-79.22738834,43.76517427
5951,Assault,-79.39329446,43.70907194
5507,Assault,-79.36959288,43.65488343
5952,Assault,-79.28835861,43.69123234
5953,Assault,-79.48988799,43.61210512
5508,Assault,-79.43364759,43.68002384
5954,Assault,-79.42906936,43.66180829
5955,Assault,-79.42906936,43.66180829
5509,Assault,-79.48501366,43.62140398
5956,Assault,-79.38378885,43.66302127
5957,Assault,-79.30740611,43.74264412
5958,Assault,-79.55406126,43.69534096
5510,Assault,-79.40010745,43.64914141
5959,Assault,-79.3824907,43.65991283
5960,Assault,-79.38786647,43.67287384
5961,Assault,-79.33495727,43.71873042
5102,Assault,-79.41520623,43.77354508
5962,Assault,-79.40991705,43.78866325
5701,Assault,-79.33238272,43.68148414
5702,Assault,-79.33765219,43.68124622
5963,Assault,-79.46878328,43.69155579
5103,Assault,-79.38311038,43.66137181
5104,Assault,-79.29232441,43.74590324
5964,Assault,-79.55767061,43.67562285
5703,Assault,-79.45245387,43.65632102
5105,Assault,-79.29064809,43.73535262
5965,Assault,-79.28708763,43.68053979
5704,Assault,-79.51322103,43.73938932
5372,Assault,-79.30264521,43.70767014
5705,Assault,-79.30895474,43.71052502
5966,Assault,-79.36191926,43.76374386
5511,Assault,-79.41813486,43.79025273
