id,listing_url,longitude,latitude,guest_num,room_type,price,instant_bookable,bedrooms,beds,bathrooms,superhost,pet_allowed,event_allowed,smoking_allowed,Free_parking,Family_kid_friendly,Washer,Hangers,Lock_on_bedroom_door,Wireless_Internet,Laptop_friendly_workspace,TV,Shampoo,Self_Check_in,Heating,Hair_dryer,Indoor_fireplace,Dryer,Iron,Breakfast,Doorman,Buzzer_wireless_intercom,Air_conditioning,Pool,Kitchen,crime_count
9132704,https://www.airbnb.com/rooms/9132704,-79.4998673471988,43.76205655396621,3,Private room,30.0,t,1,1,1.0,f,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,35
6832028,https://www.airbnb.com/rooms/6832028,-79.49913881836751,43.76906851278993,2,Private room,39.0,f,1,2,1.5,f,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,6
14596547,https://www.airbnb.com/rooms/14596547,-79.50139571257495,43.767794031682044,1,Private room,50.0,t,1,1,1.0,f,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,11
8235594,https://www.airbnb.com/rooms/8235594,-79.49671159598898,43.76548043189837,6,Entire home/apt,178.0,f,2,4,2.5,f,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,4
9052835,https://www.airbnb.com/rooms/9052835,-79.50430042902904,43.76555816688828,1,Entire home/apt,45.0,f,1,1,1.0,f,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,12
10772078,https://www.airbnb.com/rooms/10772078,-79.49167329482556,43.76480164522597,2,Entire home/apt,35.0,f,1,1,1.0,f,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1
15888115,https://www.airbnb.com/rooms/15888115,-79.46530376833378,43.75081944987002,3,Entire home/apt,59.0,f,1,1,1.0,f,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0
9842943,https://www.airbnb.com/rooms/9842943,-79.46490840651519,43.75032736719407,3,Entire home/apt,70.0,f,1,1,1.0,f,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0
15790625,https://www.airbnb.com/rooms/15790625,-79.46592031912914,43.7526641887753,2,Entire home/apt,99.0,f,1,1,1.0,f,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0
8238835,https://www.airbnb.com/rooms/8238835,-79.50225350507178,43.76873969369485,1,Private room,39.0,t,1,1,1.0,f,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1
